Product_id,Product_Name,Category,Price,Image_link,Product_link
27,MEN'S SPORTS SHOES US-EX-3211,urbansole-footwear,"Rs.13,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3211Black_700x700.webp?v=1704738983,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3211
28,FORMAL SHOE PC-RM-3303,urbansole-footwear,"Rs.11,999",https://www.urbansole.com.pk/cdn/shop/files/PC-RM-3303Brown_1_700x700.webp?v=1705382026,https://www.urbansole.com.pk/collections/urbansole-footwear/products/pc-rm-3303
29,FORMAL SHOE PC-RM-3302,urbansole-footwear,"Rs.11,999",https://www.urbansole.com.pk/cdn/shop/files/PC-RM-3302Brown_1_700x700.webp?v=1705402972,https://www.urbansole.com.pk/collections/urbansole-footwear/products/pc-rm-3302
30,FORMAL SHOE PC-RM-3301,urbansole-footwear,"Rs.11,999",https://www.urbansole.com.pk/cdn/shop/files/PC-RM-3301Brown_1_700x700.webp?v=1705382012,https://www.urbansole.com.pk/collections/urbansole-footwear/products/pc-rm-3301
31,Sailor US-FX-3104,urbansole-footwear,"Rs.8,499",https://www.urbansole.com.pk/cdn/shop/files/US-FX-3104Navy_6d4ba74d-eb47-4692-a8d5-613f87153e4c_700x700.jpg?v=1704705110,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-fx-3104-navy
32,Cosmora US-FX-3105,urbansole-footwear,"Rs.8,499",https://www.urbansole.com.pk/cdn/shop/files/US-FX-3105Grey_fb2f78a2-ec24-40e9-a86f-090c01b53675_700x700.jpg?v=1704704181,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-fx-3105-grey
33,Sailor US-FX-3104,urbansole-footwear,"Rs.8,499",https://www.urbansole.com.pk/cdn/shop/files/US-FX-3104Cuiou_4e4bcfa9-74e0-44ea-99c6-83c7ad5363d3_700x700.jpg?v=1704704957,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-fx-3104-black
34,Imperium US-FX-3103,urbansole-footwear,"Rs.8,499",https://www.urbansole.com.pk/cdn/shop/files/US-FX-3103Windy_7f94bb21-b700-4812-a3bc-37a6dcc552a1_700x700.jpg?v=1704704592,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-fx-3103-windy
35,Czar US-FX-3102,urbansole-footwear,"Rs.8,499",https://www.urbansole.com.pk/cdn/shop/files/US-FX-3102M.Brown_e4758c24-b3c4-4b27-9f37-6427b9dbcc37_700x700.jpg?v=1704450610,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-fx-3102-m-brown
36,Victor US-FX-3101,urbansole-footwear,"Current price

Rs.5,949",https://www.urbansole.com.pk/cdn/shop/files/US-FX-3101Black_3a381dee-9474-4711-8534-402eec356a46_700x700.jpg?v=1704704334,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-fx-3101-tan
37,Quest US-TM-3304,urbansole-footwear,"Rs.9,999",https://www.urbansole.com.pk/cdn/shop/files/US-TM-3304Black_700x700.jpg?v=1705202842,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-tm-3304
38,FORMAL SHOE US-PM-3301,urbansole-footwear,"Current price

Rs.4,199",https://www.urbansole.com.pk/cdn/shop/files/US-PM-3301Black_700x700.jpg?v=1705403333,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-pm-3301
39,MEN'S SPORTS SHOES US-NL-3304,urbansole-footwear,"Rs.4,999",https://www.urbansole.com.pk/cdn/shop/files/US-NL-3304Black_700x700.jpg?v=1705388882,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-nl-3304
40,MEN'S SPORTS SHOES US-NL-3303,urbansole-footwear,"Rs.5,499",https://www.urbansole.com.pk/cdn/shop/files/US-NL-3303Black_700x700.jpg?v=1704705775,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-nl-3303
41,SHOE MOC US-HR-3303,urbansole-footwear,"Current price

Rs.3,849",https://www.urbansole.com.pk/cdn/shop/files/US-HR-3303Black_700x700.jpg?v=1705418666,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-hr-3303
42,SHOE MOC US-HR-3302,urbansole-footwear,"Current price

Rs.3,849",https://www.urbansole.com.pk/cdn/shop/files/US-HR-3302Black_700x700.jpg?v=1705418806,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-hr-3302
43,SHOE MOC US-HR-3301,urbansole-footwear,"Current price

Rs.3,849",https://www.urbansole.com.pk/cdn/shop/files/US-HR-3301Black_700x700.jpg?v=1705418867,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-hr-3301
44,James US-GL-3104,urbansole-footwear,"Rs.7,999",https://www.urbansole.com.pk/cdn/shop/files/US-GL-3304Grey_700x700.jpg?v=1704716345,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-gl-3104
45,MEN'S SPORTS SHOES US-EX-3252,urbansole-footwear,"Rs.11,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3352Black_700x700.jpg?v=1704716427,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3252
46,MEN'S SPORTS SHOES US-EX-3203,urbansole-footwear,"Rs.13,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3203Grey_700x700.jpg?v=1704716519,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3203
47,MEN'S SPORTS SHOES US-EX-3202,urbansole-footwear,"Rs.14,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3202Black_700x700.jpg?v=1704716642,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3202
48,MEN'S SPORTS SHOES US-EX-3201,urbansole-footwear,"Rs.15,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3201Black_700x700.jpg?v=1704716742,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3201
